,iter,weights
37,38,"{'number_adjacent_facts_other_value': 2.1732142857142858, 'number_other_facts_same_value': 0.4999999999999999, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.5, 'other_col_cons': 2.5625, 'other_row_cons': 2.4791666666666665, 'other_block_cons': 0.001, 'number_adjacent_row_facts': 1.5416666666666667, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.125}"
38,39,"{'number_adjacent_facts_other_value': 2.1732142857142858, 'number_other_facts_same_value': 0.4999999999999999, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.5, 'other_col_cons': 2.5625, 'other_row_cons': 2.9791666666666665, 'other_block_cons': 0.4385, 'number_adjacent_row_facts': 1.2416666666666667, 'number_adjacent_col_facts': 2.066666666666667, 'number_adjacent_block_facts': 0.425}"
39,40,"{'number_adjacent_facts_other_value': 2.4732142857142856, 'number_other_facts_same_value': 0.2499999999999999, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.001, 'adjacent_row_used': 1.0, 'adjacent_block_used': 2.5, 'other_col_cons': 2.5625, 'other_row_cons': 2.9791666666666665, 'other_block_cons': 0.1885, 'number_adjacent_row_facts': 1.5416666666666667, 'number_adjacent_col_facts': 2.066666666666667, 'number_adjacent_block_facts': 0.425}"
40,41,"{'number_adjacent_facts_other_value': 2.139880952380952, 'number_other_facts_same_value': 0.4166666666666665, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 2.0625, 'other_row_cons': 2.9791666666666665, 'other_block_cons': 0.1885, 'number_adjacent_row_facts': 1.0416666666666667, 'number_adjacent_col_facts': 2.066666666666667, 'number_adjacent_block_facts': 0.09166666666666667}"
41,42,"{'number_adjacent_facts_other_value': 1.889880952380952, 'number_other_facts_same_value': 0.5833333333333331, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 2.0625, 'other_row_cons': 3.4791666666666665, 'other_block_cons': 0.1885, 'number_adjacent_row_facts': 1.0416666666666667, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
42,43,"{'number_adjacent_facts_other_value': 2.2232142857142856, 'number_other_facts_same_value': 0.5833333333333331, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 2.3125, 'other_row_cons': 3.4791666666666665, 'other_block_cons': 0.001, 'number_adjacent_row_facts': 1.375, 'number_adjacent_col_facts': 1.8166666666666669, 'number_adjacent_block_facts': 0.001}"
43,44,"{'number_adjacent_facts_other_value': 1.9732142857142856, 'number_other_facts_same_value': 0.7499999999999998, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 2.3125, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.376, 'number_adjacent_row_facts': 1.375, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.001}"
44,45,"{'number_adjacent_facts_other_value': 1.7232142857142856, 'number_other_facts_same_value': 0.9166666666666664, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 0.5, 'adjacent_block_used': 2.5, 'other_col_cons': 2.8125, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.376, 'number_adjacent_row_facts': 1.125, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.001}"
45,46,"{'number_adjacent_facts_other_value': 1.2232142857142856, 'number_other_facts_same_value': 1.0416666666666665, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 3.001, 'adjacent_row_used': 0.5, 'adjacent_block_used': 3.0, 'other_col_cons': 2.3125, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.626, 'number_adjacent_row_facts': 0.625, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.001}"
46,47,"{'number_adjacent_facts_other_value': 0.9732142857142856, 'number_other_facts_same_value': 1.2083333333333333, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 3.001, 'adjacent_row_used': 0.5, 'adjacent_block_used': 3.0, 'other_col_cons': 2.8125, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.626, 'number_adjacent_row_facts': 0.375, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.001}"
47,48,"{'number_adjacent_facts_other_value': 0.4732142857142856, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 3.001, 'adjacent_row_used': 0.5, 'adjacent_block_used': 3.0, 'other_col_cons': 3.0625, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.626, 'number_adjacent_row_facts': 0.001, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.001}"
48,49,"{'number_adjacent_facts_other_value': 0.8065476190476188, 'number_other_facts_same_value': 1.1666666666666665, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 3.0, 'other_col_cons': 3.5625, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.626, 'number_adjacent_row_facts': 0.501, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.3343333333333333}"
49,50,"{'number_adjacent_facts_other_value': 0.5565476190476188, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 2.58974358974359, 'adjacent_col_used': 2.501, 'adjacent_row_used': 1.0, 'adjacent_block_used': 3.0, 'other_col_cons': 4.0625, 'other_row_cons': 3.9791666666666665, 'other_block_cons': 0.626, 'number_adjacent_row_facts': 0.251, 'number_adjacent_col_facts': 1.5666666666666669, 'number_adjacent_block_facts': 0.08433333333333332}"
