,iter,weights
15,16,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 65.41766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 31.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 63.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
16,17,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 65.41766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
17,18,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
18,19,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 54.33333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
19,20,"{'number_adjacent_facts_other_value': 29.50352525252525, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 20.16766666666667, 'number_adjacent_block_facts': 25.750999999999998}"
20,21,"{'number_adjacent_facts_other_value': 30.336858585858582, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 25.750999999999998}"
21,22,"{'number_adjacent_facts_other_value': 30.89241414141414, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 27.417666666666666}"
22,23,"{'number_adjacent_facts_other_value': 31.72574747474747, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 36.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 28.667666666666666}"
23,24,"{'number_adjacent_facts_other_value': 31.72574747474747, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 68.5, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 28.667666666666666}"
24,25,"{'number_adjacent_facts_other_value': 31.72574747474747, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 41.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 28.667666666666666}"
25,26,"{'number_adjacent_facts_other_value': 31.72574747474747, 'number_other_facts_same_value': 66.66766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 35.001000000000005, 'adjacent_block_used': 66.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 56.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 28.667666666666666}"
26,27,"{'number_adjacent_facts_other_value': 28.72574747474747, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 16.001, 'number_adjacent_block_facts': 25.667666666666666}"
27,28,"{'number_adjacent_facts_other_value': 29.559080808080804, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 22.625999999999998, 'number_adjacent_col_facts': 16.001, 'number_adjacent_block_facts': 27.334333333333333}"
28,29,"{'number_adjacent_facts_other_value': 30.392414141414136, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 23.45933333333333, 'number_adjacent_col_facts': 16.001, 'number_adjacent_block_facts': 27.334333333333333}"
29,30,"{'number_adjacent_facts_other_value': 31.225747474747468, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 16.001, 'number_adjacent_block_facts': 27.334333333333333}"
30,31,"{'number_adjacent_facts_other_value': 31.781303030303025, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 16.001, 'number_adjacent_block_facts': 29.001}"
31,32,"{'number_adjacent_facts_other_value': 34.28130303030302, 'number_other_facts_same_value': 69.16766666666665, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 29.001}"
32,33,"{'number_adjacent_facts_other_value': 34.28130303030302, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 29.001}"
33,34,"{'number_adjacent_facts_other_value': 35.947969696969686, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 30.66766666666667}"
34,35,"{'number_adjacent_facts_other_value': 35.947969696969686, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 30.66766666666667}"
35,36,"{'number_adjacent_facts_other_value': 36.78130303030302, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 32.33433333333333}"
36,37,"{'number_adjacent_facts_other_value': 37.33685858585858, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 34.001}"
37,38,"{'number_adjacent_facts_other_value': 37.892414141414136, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 35.66766666666666}"
38,39,"{'number_adjacent_facts_other_value': 38.44796969696969, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 37.334333333333326}"
39,40,"{'number_adjacent_facts_other_value': 39.00352525252525, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 25.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 39.00099999999999}"
40,41,"{'number_adjacent_facts_other_value': 39.62852525252525, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 40.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 30.95933333333333, 'number_adjacent_col_facts': 21.001, 'number_adjacent_block_facts': 39.00099999999999}"
41,42,"{'number_adjacent_facts_other_value': 39.62852525252525, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 35.95933333333333, 'number_adjacent_col_facts': 20.376, 'number_adjacent_block_facts': 36.50099999999999}"
42,43,"{'number_adjacent_facts_other_value': 42.12852525252525, 'number_other_facts_same_value': 70.83433333333332, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 35.95933333333333, 'number_adjacent_col_facts': 25.376, 'number_adjacent_block_facts': 36.50099999999999}"
43,44,"{'number_adjacent_facts_other_value': 39.62852525252525, 'number_other_facts_same_value': 72.50099999999999, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 51.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 35.95933333333333, 'number_adjacent_col_facts': 22.876, 'number_adjacent_block_facts': 34.00099999999999}"
44,45,"{'number_adjacent_facts_other_value': 37.12852525252525, 'number_other_facts_same_value': 74.16766666666666, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 33.45933333333333, 'number_adjacent_col_facts': 22.876, 'number_adjacent_block_facts': 31.50099999999999}"
45,46,"{'number_adjacent_facts_other_value': 37.12852525252525, 'number_other_facts_same_value': 75.83433333333333, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 36.0, 'adjacent_row_used': 45.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 61.83333333333333, 'number_adjacent_row_facts': 33.45933333333333, 'number_adjacent_col_facts': 22.876, 'number_adjacent_block_facts': 31.50099999999999}"
46,47,"{'number_adjacent_facts_other_value': 34.12852525252525, 'number_other_facts_same_value': 78.33433333333333, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 31.0, 'adjacent_row_used': 50.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 56.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 64.33333333333333, 'number_adjacent_row_facts': 38.45933333333333, 'number_adjacent_col_facts': 17.876, 'number_adjacent_block_facts': 31.50099999999999}"
47,48,"{'number_adjacent_facts_other_value': 29.961858585858582, 'number_other_facts_same_value': 80.001, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 36.50099999999999}"
48,49,"{'number_adjacent_facts_other_value': 29.961858585858582, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 36.50099999999999}"
49,50,"{'number_adjacent_facts_other_value': 30.586858585858582, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 39.00099999999999}"
50,51,"{'number_adjacent_facts_other_value': 31.14241414141414, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 40.667666666666655}"
51,52,"{'number_adjacent_facts_other_value': 31.856699855699855, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 65.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 45.667666666666655}"
52,53,"{'number_adjacent_facts_other_value': 31.856699855699855, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 45.667666666666655}"
53,54,"{'number_adjacent_facts_other_value': 32.48169985569986, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 43.45933333333333, 'number_adjacent_col_facts': 12.876000000000001, 'number_adjacent_block_facts': 48.167666666666655}"
54,55,"{'number_adjacent_facts_other_value': 32.48169985569986, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 55.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 45.95933333333333, 'number_adjacent_col_facts': 12.161714285714288, 'number_adjacent_block_facts': 43.167666666666655}"
55,56,"{'number_adjacent_facts_other_value': 32.48169985569986, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 60.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 50.95933333333333, 'number_adjacent_col_facts': 10.911714285714288, 'number_adjacent_block_facts': 38.167666666666655}"
56,57,"{'number_adjacent_facts_other_value': 33.037255411255416, 'number_other_facts_same_value': 82.501, 'number_other_facts_other_value': 46.0, 'adjacent_col_used': 26.0, 'adjacent_row_used': 60.001000000000005, 'adjacent_block_used': 61.0, 'other_col_cons': 61.666666666666664, 'other_row_cons': 70.16666666666667, 'other_block_cons': 69.33333333333333, 'number_adjacent_row_facts': 50.95933333333333, 'number_adjacent_col_facts': 10.911714285714288, 'number_adjacent_block_facts': 39.83433333333332}"
